Country,Amount,Date
"Armenia","93%",2007
"Bangladesh","92%",2007
"Moldova","92%",2007
"Azerbaijan","92%",2007
"Zimbabwe","91%",2007
"Sri Lanka","90%",2007
"Yemen","89%",2007
"Libya","88%",2007
"Venezuela","87%",2007
"Vietnam","85%",2007
"Iraq","85%",2007
"Cameroon","84%",2007
"Indonesia","84%",2007
"Pakistan","84%",2007
"Algeria","84%",2007
"Ukraine","83%",2007
"Nigeria","82%",2007
"Paraguay","82%",2007
"Botswana","82%",2007
"Bolivia","82%",2007
"China","82%",2007
"Zambia","82%",2007
"El Salvador","81%",2007
"Kenya","81%",2007
"Cote d'Ivoire","81%",2007
"Senegal","80%",2007
"Guatemala","80%",2007
"Nicaragua","80%",2007
"Dominican Republic","79%",2007
"Kazakhstan","79%",2007
"Thailand","78%",2007
"Albania","78%",2007
"Serbia and Montenegro","76%",2007
"Tunisia","76%",2007
"Panama","74%",2007
"Argentina","74%",2007
"Honduras","74%",2007
"Lebanon","73%",2007
"Russia","73%",2007
"Former Spanish colonies average","73%",2007
"Peru","71%",2007
"OPEC countries average","69.78%",2007
"Philippines","69%",2007
"India","69%",2007
"Uruguay","69%",2007
"Bosnia and Herzegovina","68%",2007
"Bulgaria","68%",2007
"Romania","68%",2007
"Morocco","67%",2007
"Emerging markets average","66.16%",2007
"Ecuador","66%",2007
"Chile","66%",2007
"Turkey","65%",2007
"Middle Eastern and North Africa average","64.62%",2007
"Kuwait","62%",2007
"Costa Rica","61%",2007
"Mexico","61%",2007
"Oman","61%",2007
"Jordan","60%",2007
"Egypt","60%",2007
"Malaysia","59%",2007
"Brazil","59%",2007
"Colombia","58%",2007
"Greece","58%",2007
"Bahrain","57%",2007
"Mauritius","57%",2007
"Poland","57%",2007
"Lithuania","56%",2007
"Latvia","56%",2007
"Qatar","54%",2007
"Croatia","54%",2007
"Hong Kong","51%",2007
"Estonia","51%",2007
"Saudi Arabia","51%",2007
"Cyprus","50%",2007
"Italy","49%",2007
"Slovenia","48%",2007
"Iceland","48%",2007
"Non-religious countries average","47.54%",2007
"Malta","46%",2007
"NATO countries average","45.33%",2007
"Slovakia","45%",2007
"Puerto Rico","44%",2007
"South Korea","43%",2007
"Portugal","43%",2007
"Spain","43%",2007
"France","42%",2007
"Hungary","42%",2007
"European Union average","42%",2007
"Taiwan","40%",2007
"Reunion","40%",2007
"Eurozone average","39.78%",2007
"Czech Republic","39%",2007
"Singapore","37%",2007
"High income OECD countries average","35.65%",2007
"United Arab Emirates","35%",2007
"Ireland","34%",2007
"South Africa","34%",2007
"Canada","33%",2007
"Israel","32%",2007
"Group of 7 countries (G7) average","31.43%",2007
"Norway","29%",2007
"Netherlands","28%",2007
"Australia","28%",2007
"Germany","27%",2007
"United Kingdom","26%",2007
"Finland","25%",2007
"Denmark","25%",2007
"Sweden","25%",2007
"Austria","25%",2007
"Belgium","25%",2007
"Switzerland","25%",2007
"Japan","23%",2007
"New Zealand","22%",2007
"Luxembourg","21%",2007
"United States","20%",2007
